Appliances_Rolling,Appliances_Lag1,Appliances_Lag3,Hour,lights,RH_out,T2,T6,T_out,RH_8,Appliances
56.666666666666664,60.0,60.0,17.0,30.0,0.8220804204522256,-0.5204113780185875,-0.14519618125153338,-0.15264674015002874,48.9,60.0
56.666666666666664,60.0,60.0,17.0,30.0,0.8220804204522256,-0.5204113780185875,-0.17694121058051598,-0.17458780710098273,48.863333333333294,60.0
56.666666666666664,60.0,60.0,17.0,30.0,0.8220804204522256,-0.5204113780185875,-0.2218221141145926,-0.19652887405193487,48.73,50.0
53.333333333333336,50.0,60.0,17.0,40.0,0.8220804204522256,-0.5204113780185875,-0.2426205816059947,-0.21846994100288886,48.59,50.0
53.333333333333336,50.0,60.0,17.0,40.0,0.8220804204522256,-0.5204113780185875,-0.25356714344357345,-0.24041100795384301,48.59,60.0
53.333333333333336,60.0,50.0,17.0,40.0,0.8220804204522256,-0.5204113780185875,-0.2645137052811538,-0.262352074904795,48.59,50.0
56.666666666666664,50.0,50.0,18.0,50.0,0.8220804204522256,-0.5204113780185875,-0.27053431429182334,-0.28429314185574894,48.59,60.0
56.666666666666664,60.0,60.0,18.0,50.0,0.8108952711267106,-0.5204113780185875,-0.28257553231316035,-0.281158703719898,48.59,60.0
60.0,60.0,50.0,18.0,40.0,0.799710121801202,-0.5204113780185875,-0.2935220941507409,-0.2780242655840487,48.59,60.0
63.333333333333336,60.0,60.0,18.0,40.0,0.788524972475687,-0.5067309757514221,-0.28257553231316035,-0.27488982744819757,48.59,70.0
101.66666666666667,70.0,60.0,18.0,70.0,0.7773398231501718,-0.44896927729004427,-0.28257553231316035,-0.2717553893123464,48.59,175.0
140.0,175.0,60.0,18.0,60.0,0.7661546738246634,-0.4170483386666597,-0.2935220941507409,-0.26862095117649726,48.6333333333333,175.0
175.0,175.0,70.0,19.0,50.0,0.7549695244991482,-0.3532064614198937,-0.2935220941507409,-0.26548651304064613,48.56,175.0
175.0,175.0,175.0,19.0,40.0,0.7214140765226096,-0.27872427129867594,-0.30268983968971336,-0.26548651304064613,48.66666666666671,175.0
150.0,175.0,175.0,19.0,10.0,0.6878586285460708,-0.22096257283729803,-0.3301930763066325,-0.26548651304064613,49.19333333333329,100.0
